id,text,file_name,is_correct
0,vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,audio/subfolder_2/AwACAgIAAxkBAAMnX51d_nSMUcTaZw01ef1lmUsPYC0AApELAAJ-OfFIQWcAAf9KwaNBGwQ.ogg,False
1,vazirlar mahkamasi yangi saylangan O'zbekiston respublikasi oliy majlisi oldida o'z vakolatlarini zimmasidan soqit qiladi.,audio/subfolder_1/AwACAgIAAxkBAAM-X56Mzfq30YX1fm8LLfSuz70D8P8AAjQJAAJ-OflIH3SCf7RiFAQeBA.ogg,False
2,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",audio/subfolder_1/AwACAgIAAxkBAANDX56SQK8yOL4ERfQuu6nGuyM6TpAAAkQJAAJ-OflI0kgvInlxjdkeBA.ogg,False
3,"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",audio/subfolder_1/AwACAgIAAxkBAANUX596HbtI-YIkSX1A9nLiYcPPCH4AAm0MAAKoKfhIsqLVUqI87rkeBA.ogg,False
4,yomon axloqning qalb sofligiga beradigan zarari esa qo'rqinchliroqdir.,audio/subfolder_1/AwACAgIAAxkBAANWX596MkwofNWpbY6tQftOE8bfTVsAAm4MAAKoKfhIQPTXT-dRFm8eBA.ogg,False
5,"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",audio/subfolder_1/AwACAgIAAxkBAAODX5_l1DQpOaV3kLyLVnWWglmCFTsAAtEJAAIMOwABSaSIYCFTCGWlHgQ.ogg,False
6,vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,audio/subfolder_1/AwACAgEAAxkBAAPKX6Dw7OCLOqduzAnlXirmrj5ams0AAvoAA_sCCEUkJvikUFg-hR4E.ogg,False
7,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",audio/subfolder_2/AwACAgIAAxkBAAPaX6DxAAHQ7QKcG0Otvd-MNNtcc2P-AALCCgACuyIISWICjLX_Ik-hHgQ.ogg,False
8,"qaynoq ko'z yoshlari bilan yuz ko'zlarini yuvib, qayg'u alangasida tutaqib yondi, suyaklariga qadar zirqirab og'ridi.",audio/subfolder_2/AwACAgIAAxkBAAP6X6DxJHJMbqTV_jYOX8DzzgABrmaRAALKCgACxSQISWcVMjbCtsBuHgQ.ogg,False
9,"Shuningdek, boshqaruv matematik modelini yaratyapmiz.",audio/subfolder_1/AwACAgIAAxkBAAIBAAFfoPEtWqGIzPriV3NhQ89-_i8DZQACpgoAAudaCEmFMAs-PMPu6R4E.ogg,False
10,"Yozning oxiri, kuz oylarida sinadik, endi qish-bahor oylarida ham sinaymiz.",audio/subfolder_1/AwACAgEAAxkBAAPtX6DxFnsxP6T5XO72smQUZfL0pgcAAvsAA_sCCEWM65xLuMgM4h4E.ogg,False
